filename,section|field|value
form_24.pdf,section1|תאריך הפגיעה|0  7  0  2  2  0  2  3
form_24.pdf,section2|שם משפחה|עמית
form_24.pdf,section2|שם פרטי|ים
form_24.pdf,section2|ת.ז|1  9  8  4  3  5  5  6  9  0
form_24.pdf,section2|תאריך לידה|1 8 0 1 2 0 2 3
form_24.pdf,section2|רחוב|נחל פארן
form_24.pdf,section2|מס' בית|118
form_24.pdf,section2|כניסה|1
form_24.pdf,section2|דירה|13
form_24.pdf,section2|יישוב|נתיב השיירה
form_24.pdf,section2|מיקוד|721614
form_24.pdf,section2|טלפון קווי|0  5  4  8  5  8  9  4  5  8
form_24.pdf,section2|טלפון נייד|0  5  4  2  1  2  6  8  5  9
form_24.pdf,section3|בתאריך|25.05.2023
form_24.pdf,section3|בשעה|10:25
form_24.pdf,section3|כאשר עבדתי ב|מלצרות
form_24.pdf,section3|נסיבות הפגיעה / תיאור התאונה|החלקה על משטח חלק בעת ביצוע מטלה.
form_24.pdf,section3|האיבר שנפגע|רגל שמאל
form_24.pdf,section4|שם המבקש|אלה סאלח
form_24.pdf,section4|חתימה|
form_24.pdf,section5|אבחנה רפואית 1|8  2  0  8
form_24.pdf,section5|אבחנה רפואית 2|6  0  0  7
form_24.pdf,section2|מין/זכר|V
form_24.pdf,section2|מין/נקבה|
form_24.pdf,section3|מקום התאונה/מפעל|
form_24.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_24.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_24.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|V
form_24.pdf,section3|מקום התאונה/אחר|
form_24.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|
form_24.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|V
form_24.pdf,section5|קופת חולים/כללית|
form_24.pdf,section5|קופת חולים/מאוחדת|
form_24.pdf,section5|קופת חולים/מכבי|
form_24.pdf,section5|קופת חולים/לאומית|V
form_25.pdf,header|אל קופ״ח/בי״ח|באר מילכה
form_25.pdf,header|תאריך מילוי הטופס|0  8  0  2  2  0  2  3
form_25.pdf,header|תאריך קבלת הטופס בקופה|0  7  1  1  2  0  2  3
form_25.pdf,section1|תאריך הפגיעה|2  3  0  9  2  0  2  3
form_25.pdf,section2|שם משפחה|חדד
form_25.pdf,section2|שם פרטי|טליה
form_25.pdf,section2|ת.ז|5  7  8  4  2  3  4  2  8  0
form_25.pdf,section2|תאריך לידה|3 0 0 3 2 0 2 3
form_25.pdf,section2|רחוב|בן צבי יצחק
form_25.pdf,section2|מס' בית|52
form_25.pdf,section2|כניסה|4
form_25.pdf,section2|דירה|32
form_25.pdf,section2|יישוב|גינתון
form_25.pdf,section2|מיקוד|741649
form_25.pdf,section2|טלפון קווי|0  5  4  2  2  0  2  9  5  4
form_25.pdf,section2|טלפון נייד|0  5  4  5  2  2  6  6  0  4
form_25.pdf,section3|בתאריך|01.12.2023
form_25.pdf,section3|בשעה|18:06
form_25.pdf,section3|כאשר עבדתי ב|נהיגה
form_25.pdf,section3|נסיבות הפגיעה / תיאור התאונה|מעידה על מדרגה חלקלקה בעת תפקיד.
form_25.pdf,section3|האיבר שנפגע|גב
form_25.pdf,section4|שם המבקש|יעקב תורג'מן
form_25.pdf,section4|חתימה|signed
form_25.pdf,section5|אבחנה רפואית 1|6  8  8  7
form_25.pdf,section5|אבחנה רפואית 2|3  1  8  0
form_25.pdf,section2|מין/זכר|V
form_25.pdf,section2|מין/נקבה|
form_25.pdf,section3|מקום התאונה/מפעל|
form_25.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_25.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|V
form_25.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_25.pdf,section3|מקום התאונה/אחר|
form_25.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_25.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_25.pdf,section5|קופת חולים/כללית|
form_25.pdf,section5|קופת חולים/מאוחדת|
form_25.pdf,section5|קופת חולים/מכבי|
form_25.pdf,section5|קופת חולים/לאומית|V
form_26.pdf,header|אל קופ״ח/בי״ח|שפר
form_26.pdf,header|תאריך מילוי הטופס|1  1  1  0  2  0  2  3
form_26.pdf,header|תאריך קבלת הטופס בקופה|2  4  1  0  2  0  2  3
form_26.pdf,section1|תאריך הפגיעה|1  3  0  8  2  0  2  3
form_26.pdf,section2|שם משפחה|שלו
form_26.pdf,section2|שם פרטי|יהונתן
form_26.pdf,section2|ת.ז|3  5  3  8  7  5  3  7  4  0
form_26.pdf,section2|תאריך לידה|1 8 0 5 2 0 2 3
form_26.pdf,"section2|רחוב|""ביל""""ו"""
form_26.pdf,section2|מס' בית|5
form_26.pdf,section2|כניסה|1
form_26.pdf,section2|דירה|30
form_26.pdf,section2|יישוב|עצמון שגב
form_26.pdf,section2|מיקוד|562660
form_26.pdf,section2|טלפון קווי|0  5  4  9  2  4  1  7  2  4
form_26.pdf,section2|טלפון נייד|0  5  4  1  9  9  2  2  3  3
form_26.pdf,section3|בתאריך|27.08.2023
form_26.pdf,section3|בשעה|08:11
form_26.pdf,section3|כאשר עבדתי ב|מחסן
form_26.pdf,section3|נסיבות הפגיעה / תיאור התאונה|מעידה על רצפה רטובה בעת ביצוע מטלה.
form_26.pdf,section3|האיבר שנפגע|רגל שמאל
form_26.pdf,section4|שם המבקש|ירדן גל
form_26.pdf,section4|חתימה|
form_26.pdf,section5|אבחנה רפואית 1|2  1  0  2
form_26.pdf,section5|אבחנה רפואית 2|8  3  6  4
form_26.pdf,section2|מין/זכר|
form_26.pdf,section2|מין/נקבה|V
form_26.pdf,section3|מקום התאונה/מפעל|
form_26.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_26.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_26.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|V
form_26.pdf,section3|מקום התאונה/אחר|
form_26.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_26.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_26.pdf,section5|קופת חולים/כללית|
form_26.pdf,section5|קופת חולים/מאוחדת|
form_26.pdf,section5|קופת חולים/מכבי|V
form_26.pdf,section5|קופת חולים/לאומית|
form_27.pdf,header|אל קופ״ח/בי״ח|עזר
form_27.pdf,header|תאריך מילוי הטופס|1  7  1  2  2  0  2  3
form_27.pdf,header|תאריך קבלת הטופס בקופה|0  8  0  5  2  0  2  3
form_27.pdf,section1|תאריך הפגיעה|2  9  0  7  2  0  2  3
form_27.pdf,section2|שם משפחה|עמאש
form_27.pdf,section2|שם פרטי|אלה
form_27.pdf,section2|ת.ז|1  7  5  6  7  6  3  3  1  9
form_27.pdf,section2|תאריך לידה|0 6 0 3 2 0 2 3
form_27.pdf,section2|רחוב|הר כנען
form_27.pdf,section2|מס' בית|52
form_27.pdf,section2|כניסה|1
form_27.pdf,section2|דירה|4
form_27.pdf,section2|יישוב|אליקים
form_27.pdf,section2|מיקוד|759411
form_27.pdf,section2|טלפון קווי|0  5  4  8  1  5  6  4  1  0
form_27.pdf,section2|טלפון נייד|0  5  4  8  0  3  1  4  4  4
form_27.pdf,section3|בתאריך|17.09.2023
form_27.pdf,section3|בשעה|15:47
form_27.pdf,section3|כאשר עבדתי ב|מלצרות
form_27.pdf,section3|נסיבות הפגיעה / תיאור התאונה|נפילה על רצפה רטובה במהלך העבודה.
form_27.pdf,section3|האיבר שנפגע|ראש
form_27.pdf,section4|שם המבקש|אגם אוחנה
form_27.pdf,section4|חתימה|signed
form_27.pdf,section5|אבחנה רפואית 1|7  7  3  0
form_27.pdf,section5|אבחנה רפואית 2|4  6  1  4
form_27.pdf,section2|מין/זכר|
form_27.pdf,section2|מין/נקבה|V
form_27.pdf,section3|מקום התאונה/מפעל|
form_27.pdf,section3|מקום התאונה/ת. דרכים בעבודה|V
form_27.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_27.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_27.pdf,section3|מקום התאונה/אחר|
form_27.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_27.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_27.pdf,section5|קופת חולים/כללית|
form_27.pdf,section5|קופת חולים/מאוחדת|V
form_27.pdf,section5|קופת חולים/מכבי|
form_27.pdf,section5|קופת חולים/לאומית|
form_28.pdf,header|אל קופ״ח/בי״ח|עין השופט
form_28.pdf,header|תאריך מילוי הטופס|2  9  0  4  2  0  2  3
form_28.pdf,header|תאריך קבלת הטופס בקופה|0  4  1  1  2  0  2  3
form_28.pdf,section1|תאריך הפגיעה|2  3  1  2  2  0  2  3
form_28.pdf,section2|שם משפחה|דמרי
form_28.pdf,section2|שם פרטי|נתן
form_28.pdf,section2|ת.ז|9  5  8  0  4  9  9  7  3  6
form_28.pdf,section2|תאריך לידה|2 7 1 1 2 0 2 3
form_28.pdf,section2|רחוב|נצרת עילית
form_28.pdf,section2|מס' בית|20
form_28.pdf,section2|כניסה|2
form_28.pdf,section2|דירה|7
form_28.pdf,section2|יישוב|גני מודיעין
form_28.pdf,section2|מיקוד|299793
form_28.pdf,section2|טלפון קווי|0  5  4  2  3  6  7  6  7  3
form_28.pdf,section2|טלפון נייד|0  5  4  8  5  7  1  7  8  7
form_28.pdf,section3|בתאריך|16.04.2023
form_28.pdf,section3|בשעה|10:56
form_28.pdf,section3|כאשר עבדתי ב|מחסן
form_28.pdf,section3|נסיבות הפגיעה / תיאור התאונה|נפילה על שביל רטוב במהלך העבודה.
form_28.pdf,section3|האיבר שנפגע|יד שמאל
form_28.pdf,section4|שם המבקש|נילי עודה
form_28.pdf,section4|חתימה|
form_28.pdf,section5|אבחנה רפואית 1|1  3  7  9
form_28.pdf,section5|אבחנה רפואית 2|5  4  8  4
form_28.pdf,section2|מין/זכר|
form_28.pdf,section2|מין/נקבה|V
form_28.pdf,section3|מקום התאונה/מפעל|
form_28.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_28.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|V
form_28.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_28.pdf,section3|מקום התאונה/אחר|
form_28.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_28.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_28.pdf,section5|קופת חולים/כללית|
form_28.pdf,section5|קופת חולים/מאוחדת|
form_28.pdf,section5|קופת חולים/מכבי|V
form_28.pdf,section5|קופת חולים/לאומית|
form_29.pdf,header|אל קופ״ח/בי״ח|בית ברל
form_29.pdf,header|תאריך מילוי הטופס|1  4  1  0  2  0  2  3
form_29.pdf,header|תאריך קבלת הטופס בקופה|2  0  0  7  2  0  2  3
form_29.pdf,section1|תאריך הפגיעה|0  1  1  1  2  0  2  3
form_29.pdf,section2|שם משפחה|ממן
form_29.pdf,section2|שם פרטי|מרים
form_29.pdf,section2|ת.ז|1  8  1  1  3  3  1  8  2  6
form_29.pdf,section2|תאריך לידה|3 1 0 5 2 0 2 3
form_29.pdf,section2|רחוב|רח 101
form_29.pdf,section2|מס' בית|100
form_29.pdf,section2|כניסה|4
form_29.pdf,section2|דירה|27
form_29.pdf,section2|יישוב|אליקים
form_29.pdf,section2|מיקוד|803535
form_29.pdf,section2|טלפון קווי|0  5  4  5  2  7  0  0  0  3
form_29.pdf,section2|טלפון נייד|0  5  4  5  0  7  6  0  9  7
form_29.pdf,section3|בתאריך|07.01.2023
form_29.pdf,section3|בשעה|09:31
form_29.pdf,section3|כאשר עבדתי ב|משרד
form_29.pdf,section3|נסיבות הפגיעה / תיאור התאונה|מעידה על מדרגה חלקלקה בעת ביצוע מטלה.
form_29.pdf,section3|האיבר שנפגע|גב
form_29.pdf,section4|שם המבקש|מרים זהר
form_29.pdf,section4|חתימה|
form_29.pdf,section5|אבחנה רפואית 1|6  5  3  2
form_29.pdf,section5|אבחנה רפואית 2|4  5  6  8
form_29.pdf,section2|מין/זכר|V
form_29.pdf,section2|מין/נקבה|
form_29.pdf,section3|מקום התאונה/מפעל|
form_29.pdf,section3|מקום התאונה/ת. דרכים בעבודה|V
form_29.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_29.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_29.pdf,section3|מקום התאונה/אחר|
form_29.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|
form_29.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|V
form_29.pdf,section5|קופת חולים/כללית|
form_29.pdf,section5|קופת חולים/מאוחדת|V
form_29.pdf,section5|קופת חולים/מכבי|
form_29.pdf,section5|קופת חולים/לאומית|
form_30.pdf,header|אל קופ״ח/בי״ח|עצמון שגב
form_30.pdf,header|תאריך מילוי הטופס|1  2  0  6  2  0  2  3
form_30.pdf,header|תאריך קבלת הטופס בקופה|0  3  1  1  2  0  2  3
form_30.pdf,section1|תאריך הפגיעה|0  5  0  8  2  0  2  3
form_30.pdf,section2|שם משפחה|מילר
form_30.pdf,section2|שם פרטי|תמר
form_30.pdf,section2|ת.ז|8  9  7  9  4  7  5  0  2  1
form_30.pdf,section2|תאריך לידה|0 1 1 2 2 0 2 3
form_30.pdf,section2|רחוב|גוטמכר
form_30.pdf,section2|מס' בית|49
form_30.pdf,section2|כניסה|4
form_30.pdf,section2|דירה|25
form_30.pdf,"section2|יישוב|""יד רמב""""ם"""
form_30.pdf,section2|מיקוד|807145
form_30.pdf,section2|טלפון קווי|0  5  4  3  3  2  3  9  8  8
form_30.pdf,section2|טלפון נייד|0  5  4  9  2  8  8  8  4  4
form_30.pdf,section3|בתאריך|22.02.2023
form_30.pdf,section3|בשעה|17:21
form_30.pdf,section3|כאשר עבדתי ב|מלצרות
form_30.pdf,section3|נסיבות הפגיעה / תיאור התאונה|נפילה על שביל רטוב בעת ביצוע מטלה.
form_30.pdf,section3|האיבר שנפגע|יד שמאל
form_30.pdf,section4|שם המבקש|יוסף מימון
form_30.pdf,section4|חתימה|
form_30.pdf,section5|אבחנה רפואית 1|0  8  9  7
form_30.pdf,section5|אבחנה רפואית 2|6  4  1  1
form_30.pdf,section2|מין/זכר|V
form_30.pdf,section2|מין/נקבה|
form_30.pdf,section3|מקום התאונה/מפעל|V
form_30.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_30.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_30.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_30.pdf,section3|מקום התאונה/אחר|
form_30.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_30.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_30.pdf,section5|קופת חולים/כללית|
form_30.pdf,section5|קופת חולים/מאוחדת|V
form_30.pdf,section5|קופת חולים/מכבי|
form_30.pdf,section5|קופת חולים/לאומית|
form_31.pdf,"header|אל קופ״ח/בי״ח|""דוב""""ב"""
form_31.pdf,header|תאריך מילוי הטופס|1  4  0  6  2  0  2  3
form_31.pdf,header|תאריך קבלת הטופס בקופה|0  6  0  2  2  0  2  3
form_31.pdf,section1|תאריך הפגיעה|1  9  0  4  2  0  2  3
form_31.pdf,section2|שם משפחה|רביבו
form_31.pdf,section2|שם פרטי|גליה
form_31.pdf,section2|ת.ז|6  7  2  6  3  7  4  4  0  0
form_31.pdf,section2|תאריך לידה|2 7 0 3 2 0 2 3
form_31.pdf,section2|רחוב|סמ מסילה א
form_31.pdf,section2|מס' בית|51
form_31.pdf,section2|כניסה|4
form_31.pdf,section2|דירה|30
form_31.pdf,section2|יישוב|חשמונאים
form_31.pdf,section2|מיקוד|752097
form_31.pdf,section2|טלפון קווי|0  5  4  6  5  8  8  7  9  6
form_31.pdf,section2|טלפון נייד|0  5  4  1  1  2  7  1  1  5
form_31.pdf,section3|בתאריך|29.03.2023
form_31.pdf,section3|בשעה|12:50
form_31.pdf,section3|כאשר עבדתי ב|משרד
form_31.pdf,section3|נסיבות הפגיעה / תיאור התאונה|איבוד שיווי משקל על משטח חלק בעת תפקיד.
form_31.pdf,section3|האיבר שנפגע|רגל שמאל
form_31.pdf,section4|שם המבקש|אבראהים שבתאי
form_31.pdf,section4|חתימה|signed
form_31.pdf,section5|אבחנה רפואית 1|1  7  8  2
form_31.pdf,section5|אבחנה רפואית 2|5  7  1  8
form_31.pdf,section2|מין/זכר|
form_31.pdf,section2|מין/נקבה|V
form_31.pdf,section3|מקום התאונה/מפעל|
form_31.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_31.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|V
form_31.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_31.pdf,section3|מקום התאונה/אחר|
form_31.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|
form_31.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|V
form_31.pdf,section5|קופת חולים/כללית|
form_31.pdf,section5|קופת חולים/מאוחדת|
form_31.pdf,section5|קופת חולים/מכבי|
form_31.pdf,section5|קופת חולים/לאומית|V
form_32.pdf,header|אל קופ״ח/בי״ח|גן שורק
form_32.pdf,header|תאריך מילוי הטופס|1  3  1  2  2  0  2  3
form_32.pdf,header|תאריך קבלת הטופס בקופה|2  2  0  9  2  0  2  3
form_32.pdf,section1|תאריך הפגיעה|2  1  0  9  2  0  2  3
form_32.pdf,section2|שם משפחה|סואעד
form_32.pdf,section2|שם פרטי|ליאל
form_32.pdf,section2|ת.ז|3  1  2  2  9  9  9  2  7  4
form_32.pdf,section2|תאריך לידה|1 8 1 1 2 0 2 3
form_32.pdf,section2|רחוב|היוזם
form_32.pdf,section2|מס' בית|27
form_32.pdf,section2|כניסה|1
form_32.pdf,section2|דירה|31
form_32.pdf,section2|יישוב|אור הנר
form_32.pdf,section2|מיקוד|948712
form_32.pdf,section2|טלפון קווי|0  5  4  5  2  1  5  0  9  9
form_32.pdf,section2|טלפון נייד|0  5  4  4  6  8  5  5  8  5
form_32.pdf,section3|בתאריך|26.12.2023
form_32.pdf,section3|בשעה|15:08
form_32.pdf,section3|כאשר עבדתי ב|נהיגה
form_32.pdf,section3|נסיבות הפגיעה / תיאור התאונה|החלקה על שביל רטוב בעת תפקיד.
form_32.pdf,section3|האיבר שנפגע|ראש
form_32.pdf,section4|שם המבקש|ערן שגב
form_32.pdf,section4|חתימה|
form_32.pdf,section5|אבחנה רפואית 1|4  3  8  2
form_32.pdf,section5|אבחנה רפואית 2|7  5  7  1
form_32.pdf,section2|מין/זכר|V
form_32.pdf,section2|מין/נקבה|
form_32.pdf,section3|מקום התאונה/מפעל|
form_32.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_32.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_32.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|V
form_32.pdf,section3|מקום התאונה/אחר|
form_32.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_32.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_32.pdf,section5|קופת חולים/כללית|
form_32.pdf,section5|קופת חולים/מאוחדת|V
form_32.pdf,section5|קופת חולים/מכבי|
form_32.pdf,section5|קופת חולים/לאומית|
form_33.pdf,header|אל קופ״ח/בי״ח|בית ברל
form_33.pdf,header|תאריך מילוי הטופס|1  3  0  3  2  0  2  3
form_33.pdf,header|תאריך קבלת הטופס בקופה|2  6  1  0  2  0  2  3
form_33.pdf,section1|תאריך הפגיעה|0  7  0  8  2  0  2  3
form_33.pdf,section2|שם משפחה|אביטל
form_33.pdf,section2|שם פרטי|שמואל
form_33.pdf,section2|ת.ז|6  3  1  1  8  5  3  8  1  1
form_33.pdf,section2|תאריך לידה|1 0 0 9 2 0 2 3
form_33.pdf,section2|רחוב|צמחי היהודים
form_33.pdf,section2|מס' בית|29
form_33.pdf,section2|כניסה|1
form_33.pdf,section2|דירה|39
form_33.pdf,section2|יישוב|נטע
form_33.pdf,section2|מיקוד|536034
form_33.pdf,section2|טלפון קווי|0  5  4  5  4  6  4  6  3  2
form_33.pdf,section2|טלפון נייד|0  5  4  3  6  2  6  7  4  9
form_33.pdf,section3|בתאריך|07.06.2023
form_33.pdf,section3|בשעה|08:45
form_33.pdf,section3|כאשר עבדתי ב|מכירות
form_33.pdf,section3|נסיבות הפגיעה / תיאור התאונה|נפילה על רצפה רטובה במהלך העבודה.
form_33.pdf,section3|האיבר שנפגע|יד שמאל
form_33.pdf,section4|שם המבקש|שלמה לרנר
form_33.pdf,section4|חתימה|signed
form_33.pdf,section5|אבחנה רפואית 1|6  6  7  8
form_33.pdf,section5|אבחנה רפואית 2|6  5  1  0
form_33.pdf,section2|מין/זכר|
form_33.pdf,section2|מין/נקבה|V
form_33.pdf,section3|מקום התאונה/מפעל|
form_33.pdf,section3|מקום התאונה/ת. דרכים בעבודה|V
form_33.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_33.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_33.pdf,section3|מקום התאונה/אחר|
form_33.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_33.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_33.pdf,section5|קופת חולים/כללית|
form_33.pdf,section5|קופת חולים/מאוחדת|
form_33.pdf,section5|קופת חולים/מכבי|V
form_33.pdf,section5|קופת חולים/לאומית|
form_34.pdf,header|אל קופ״ח/בי״ח|באר מילכה
form_34.pdf,header|תאריך מילוי הטופס|2  2  0  6  2  0  2  3
form_34.pdf,header|תאריך קבלת הטופס בקופה|1  0  1  0  2  0  2  3
form_34.pdf,section1|תאריך הפגיעה|2  7  0  9  2  0  2  3
form_34.pdf,section2|שם משפחה|חיים
form_34.pdf,section2|שם פרטי|חיים
form_34.pdf,section2|ת.ז|7  0  1  3  4  5  7  8  4  8
form_34.pdf,section2|תאריך לידה|1 7 0 3 2 0 2 3
form_34.pdf,section2|רחוב|מגלן
form_34.pdf,section2|מס' בית|15
form_34.pdf,section2|כניסה|4
form_34.pdf,section2|דירה|25
form_34.pdf,section2|יישוב|שעב
form_34.pdf,section2|מיקוד|694662
form_34.pdf,section2|טלפון קווי|0  5  4  2  4  5  1  6  2  8
form_34.pdf,section2|טלפון נייד|0  5  4  4  0  6  1  6  0  0
form_34.pdf,section3|בתאריך|06.02.2023
form_34.pdf,section3|בשעה|08:22
form_34.pdf,section3|כאשר עבדתי ב|מחסן
form_34.pdf,section3|נסיבות הפגיעה / תיאור התאונה|מעידה על רצפה רטובה בעת ביצוע מטלה.
form_34.pdf,section3|האיבר שנפגע|רגל ימין
form_34.pdf,section4|שם המבקש|אדל סגל
form_34.pdf,section4|חתימה|
form_34.pdf,section5|אבחנה רפואית 1|9  0  2  4
form_34.pdf,section5|אבחנה רפואית 2|8  3  1  1
form_34.pdf,section2|מין/זכר|V
form_34.pdf,section2|מין/נקבה|
form_34.pdf,section3|מקום התאונה/מפעל|
form_34.pdf,section3|מקום התאונה/ת. דרכים בעבודה|V
form_34.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_34.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_34.pdf,section3|מקום התאונה/אחר|
form_34.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|
form_34.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|V
form_34.pdf,section5|קופת חולים/כללית|
form_34.pdf,section5|קופת חולים/מאוחדת|V
form_34.pdf,section5|קופת חולים/מכבי|
form_34.pdf,section5|קופת חולים/לאומית|
form_35.pdf,header|אל קופ״ח/בי״ח|עדי
form_35.pdf,header|תאריך מילוי הטופס|1  1  0  4  2  0  2  3
form_35.pdf,header|תאריך קבלת הטופס בקופה|0  1  0  2  2  0  2  3
form_35.pdf,section1|תאריך הפגיעה|2  8  0  1  2  0  2  3
form_35.pdf,section2|שם משפחה|לוגסי
form_35.pdf,section2|שם פרטי|לירוי
form_35.pdf,section2|ת.ז|6  5  8  7  2  7  7  7  7  9
form_35.pdf,section2|תאריך לידה|2 9 1 0 2 0 2 3
form_35.pdf,section2|רחוב|שוהם
form_35.pdf,section2|מס' בית|65
form_35.pdf,section2|כניסה|1
form_35.pdf,section2|דירה|19
form_35.pdf,section2|יישוב|עמוקה
form_35.pdf,section2|מיקוד|710817
form_35.pdf,section2|טלפון קווי|0  5  4  9  9  0  0  0  4  3
form_35.pdf,section2|טלפון נייד|0  5  4  9  4  1  9  9  1  3
form_35.pdf,section3|בתאריך|08.03.2023
form_35.pdf,section3|בשעה|11:17
form_35.pdf,section3|כאשר עבדתי ב|מכירות
form_35.pdf,section3|נסיבות הפגיעה / תיאור התאונה|מעידה על מדרגה חלקלקה בעת ביצוע מטלה.
form_35.pdf,section3|האיבר שנפגע|רגל שמאל
form_35.pdf,section4|שם המבקש|נטע מחאמיד
form_35.pdf,section4|חתימה|signed
form_35.pdf,section5|אבחנה רפואית 1|6  3  2  3
form_35.pdf,section5|אבחנה רפואית 2|3  1  9  1
form_35.pdf,section2|מין/זכר|
form_35.pdf,section2|מין/נקבה|V
form_35.pdf,section3|מקום התאונה/מפעל|V
form_35.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_35.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_35.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_35.pdf,section3|מקום התאונה/אחר|
form_35.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_35.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_35.pdf,section5|קופת חולים/כללית|
form_35.pdf,section5|קופת חולים/מאוחדת|
form_35.pdf,section5|קופת חולים/מכבי|
form_35.pdf,section5|קופת חולים/לאומית|V
form_36.pdf,"header|אל קופ״ח/בי״ח|""גבעת ח""""ן"""
form_36.pdf,header|תאריך מילוי הטופס|0  9  0  5  2  0  2  3
form_36.pdf,header|תאריך קבלת הטופס בקופה|2  0  0  8  2  0  2  3
form_36.pdf,section1|תאריך הפגיעה|1  1  0  4  2  0  2  3
form_36.pdf,section2|שם משפחה|בן שושן
form_36.pdf,section2|שם פרטי|ישי
form_36.pdf,section2|ת.ז|5  6  8  2  2  5  6  4  7  5
form_36.pdf,section2|תאריך לידה|1 5 0 2 2 0 2 3
form_36.pdf,"section2|רחוב|""רלב""""ג"""
form_36.pdf,section2|מס' בית|107
form_36.pdf,section2|כניסה|1
form_36.pdf,section2|דירה|25
form_36.pdf,section2|יישוב|תלמי אליהו
form_36.pdf,section2|מיקוד|699361
form_36.pdf,section2|טלפון קווי|0  5  4  3  2  1  5  2  5  2
form_36.pdf,section2|טלפון נייד|0  5  4  1  1  1  9  8  3  7
form_36.pdf,section3|בתאריך|19.06.2023
form_36.pdf,section3|בשעה|18:52
form_36.pdf,section3|כאשר עבדתי ב|משרד
form_36.pdf,section3|נסיבות הפגיעה / תיאור התאונה|מעידה על שביל רטוב בעת תפקיד.
form_36.pdf,section3|האיבר שנפגע|רגל ימין
